year,actual,synthetic,fips,gap,is_treated
1998,32478.39880368098,32505.12663871298,48213,-26.727835032001167,FALSE
1999,34436.15508403361,32629.72334149248,48213,1806.4317425411318,FALSE
2000,34849.306951219514,33020.41839770637,48213,1828.8885535131412,FALSE
2001,35125.8113833992,34185.00590313733,48213,940.8054802618717,FALSE
2002,35045.22490272373,34083.930138017386,48213,961.2947647063411,FALSE
2003,34874.78225,34354.52861155346,48213,520.2536384465348,FALSE
2004,33866.0153414505,34411.07811591679,48213,-545.0627744662925,FALSE
2005,34179.48444444444,35137.22234324919,48213,-957.7378988047494,FALSE
2006,34138.40333333333,35505.19500316926,48213,-1366.7916698359331,FALSE
2007,35233.85564429782,36646.404692616976,48213,-1412.5490483191534,FALSE
2008,36303.95772933958,37208.34294627561,48213,-904.3852169360325,FALSE
2009,36201.957233484194,37723.073431428355,48213,-1521.1161979441604,FALSE
2010,36999.28139101881,38115.8157218402,48213,-1116.534330821385,FALSE
2011,38212.01357256856,38279.90734356524,48213,-67.89377099667763,FALSE
2012,38831.682570102006,38767.225377286864,48213,64.45719281514175,FALSE
2013,39716.490335126226,38884.66470092427,48213,831.8256342019522,FALSE
